omega_rad_s,f1,f2
7.0304e+17,5.9174,2.1944
7.1441e+17,5.95,2.143
7.2597e+17,5.9807,2.0928
7.3771e+17,6.0102,2.0437
7.4964e+17,6.0377,1.9942
7.6177e+17,6.0627,1.9459
7.7409e+17,6.0858,1.8988
7.8661e+17,6.1072,1.8528
7.9933e+17,6.1271,1.8079
8.1226e+17,6.1456,1.7641
8.254e+17,6.1627,1.7214
8.387499999999999e+17,6.1786,1.6797
8.5231e+17,6.1934,1.639
8.661e+17,6.2072,1.5993
8.8011e+17,6.2199,1.5606
8.9434e+17,6.2317,1.5228
9.088100000000001e+17,6.2427,1.4859
9.235099999999999e+17,6.2529,1.4499
9.3844e+17,6.2623,1.4148
9.536199999999999e+17,6.271,1.3806
9.6905e+17,6.279,1.3471
9.847200000000001e+17,6.2864,1.3145
1.0005999999999999e+18,6.2931,1.2827
1.0167999999999999e+18,6.299,1.2516
1.0333000000000001e+18,6.3041,1.2225
1.05e+18,6.3097,1.1952
1.067e+18,6.3182,1.169
1.0842e+18,6.3278,1.1396
1.1017999999999999e+18,6.3345,1.1084
1.1195999999999999e+18,6.3393,1.0782
1.1376999999999999e+18,6.3431,1.0487
1.1561e+18,6.3459,1.0201
1.1748e+18,6.3481,0.99218
1.1938e+18,6.3497,0.96505
1.2131e+18,6.3508,0.93863
1.2327e+18,6.3514,0.91294
1.2527e+18,6.3516,0.88795
1.2729e+18,6.3515,0.86366
1.2935e+18,6.3511,0.83992
1.3144e+18,6.3504,0.81671
1.3357e+18,6.3493,0.79404
1.3573e+18,6.3479,0.77201
1.3793e+18,6.3463,0.75058
1.4016e+18,6.3444,0.72976
1.4242e+18,6.3424,0.70936
1.4473e+18,6.3402,0.6895
1.4707e+18,6.3377,0.67018
1.4945e+18,6.335,0.65138
1.5186e+18,6.3322,0.63312
1.5432e+18,6.3293,0.61538
1.5682e+18,6.3264,0.59819
1.5935e+18,6.3236,0.58123
1.6193e+18,6.3205,0.56446
1.6455e+18,6.3171,0.5482
1.6721e+18,6.3136,0.53239
1.6991e+18,6.31,0.51702
1.7266e+18,6.3062,0.50212
1.7546e+18,6.3024,0.48764
1.7829e+18,6.2986,0.47358
1.8118e+18,6.2947,0.45993
1.8411e+18,6.2908,0.44668
1.8708e+18,6.2869,0.43379
1.9011e+18,6.2831,0.42118
1.9319e+18,6.2793,0.4088
1.9631e+18,6.2753,0.39665
1.9949e+18,6.2713,0.38487
2.0271e+18,6.2672,0.37344
2.0598999999999997e+18,6.263,0.36234
2.0932e+18,6.2589,0.35158
2.1271e+18,6.2547,0.34113
2.1615000000000003e+18,6.2505,0.33099
2.1965e+18,6.2464,0.32116
2.2320000000000003e+18,6.2423,0.31161
2.2681e+18,6.2382,0.30232
2.3048000000000003e+18,6.2342,0.29323
2.342e+18,6.2301,0.28441
2.3799e+18,6.226,0.27585
2.4184e+18,6.222,0.26755
2.4575e+18,6.218,0.25949
2.4973e+18,6.214,0.25168
2.5377e+18,6.2101,0.24411
2.5787e+18,6.2062,0.23676
2.6204e+18,6.2023,0.22964
2.6628e+18,6.1986,0.22266
2.7059e+18,6.1948,0.21588
2.7496e+18,6.1911,0.20928
2.7941e+18,6.1873,0.20288
2.8393e+18,6.1837,0.19669
2.8852e+18,6.18,0.19068
2.9319e+18,6.1764,0.18485
2.9793e+18,6.1729,0.1792
3.0275e+18,6.1694,0.17373
3.0765e+18,6.1659,0.16847
3.1262e+18,6.1626,0.16329
3.1768e+18,6.1593,0.15826
3.2282e+18,6.156,0.15338
3.2804e+18,6.1528,0.14865
3.3335e+18,6.1496,0.14405
3.3874e+18,6.1464,0.13959
3.4422e+18,6.1433,0.13527
3.4978e+18,6.1403,0.13107
3.5544e+18,6.1373,0.127
3.6119e+18,6.1343,0.12304
3.6703e+18,6.1314,0.11921
3.7297e+18,6.1286,0.11549
3.79e+18,6.1258,0.11188
3.8513e+18,6.123,0.10838
3.9136e+18,6.1203,0.10499
3.9769e+18,6.1176,0.10169
4.0412e+18,6.115,0.098504
4.1066e+18,6.1124,0.095403
4.173e+18,6.1099,0.092397
4.2405e+18,6.1074,0.089483
4.3091e+18,6.105,0.086662
4.3788e+18,6.1026,0.083915
4.4496e+18,6.1002,0.08126
4.5216000000000005e+18,6.0979,0.078682
4.5946999999999995e+18,6.0957,0.076182
4.669e+18,6.0935,0.073758
4.7445e+18,6.0913,0.071408
4.8213e+18,6.0892,0.069129
4.8993e+18,6.0871,0.066919
4.9785e+18,6.085,0.064777
5.059e+18,6.083,0.062699
5.1409e+18,6.081,0.060685
5.224e+18,6.0791,0.058733
5.3085e+18,6.0772,0.05684
5.3944e+18,6.0754,0.055004
5.4816e+18,6.0736,0.053224
5.5703e+18,6.0718,0.0515
5.6604e+18,6.07,0.049828
5.7519e+18,6.0683,0.048207
5.845e+18,6.0667,0.046635
5.9395e+18,6.065,0.045113
6.0356e+18,6.0634,0.043637
