DEVICE: cuda
Training large_100k_cnn_large: model=cnn_large, n_train=100000, epochs=200
Parameters: 4364672
epoch 093/200  train_L1=2.58050  val_L1@15.0dB=2.85899
epoch 094/200  train_L1=2.57567  val_L1@15.0dB=2.85239
epoch 095/200  train_L1=2.57729  val_L1@15.0dB=2.85153
epoch 096/200  train_L1=2.57644  val_L1@15.0dB=2.86760
epoch 097/200  train_L1=2.57711  val_L1@15.0dB=2.85415
epoch 098/200  train_L1=2.57640  val_L1@15.0dB=2.86451
epoch 099/200  train_L1=2.56979  val_L1@15.0dB=2.87316
epoch 100/200  train_L1=2.56894  val_L1@15.0dB=2.90116
epoch 101/200  train_L1=2.57779  val_L1@15.0dB=2.85191
epoch 102/200  train_L1=2.57495  val_L1@15.0dB=2.87852
epoch 103/200  train_L1=2.56747  val_L1@15.0dB=2.85132
epoch 104/200  train_L1=2.57289  val_L1@15.0dB=2.86021
epoch 105/200  train_L1=2.56743  val_L1@15.0dB=2.87775
epoch 106/200  train_L1=2.56590  val_L1@15.0dB=2.83171
epoch 107/200  train_L1=2.56753  val_L1@15.0dB=2.83080
epoch 108/200  train_L1=2.56296  val_L1@15.0dB=2.82776
epoch 109/200  train_L1=2.57141  val_L1@15.0dB=2.88072
epoch 110/200  train_L1=2.56798  val_L1@15.0dB=2.83596
epoch 111/200  train_L1=2.56313  val_L1@15.0dB=2.83951
epoch 112/200  train_L1=2.56236  val_L1@15.0dB=2.84537
epoch 113/200  train_L1=2.56642  val_L1@15.0dB=2.87448
epoch 114/200  train_L1=2.56491  val_L1@15.0dB=2.87398
epoch 115/200  train_L1=2.56315  val_L1@15.0dB=2.88384
epoch 116/200  train_L1=2.56850  val_L1@15.0dB=2.87346
epoch 117/200  train_L1=2.55936  val_L1@15.0dB=2.84324
epoch 118/200  train_L1=2.56576  val_L1@15.0dB=2.86624
epoch 119/200  train_L1=2.55711  val_L1@15.0dB=2.83497
epoch 120/200  train_L1=2.55553  val_L1@15.0dB=2.86333
epoch 121/200  train_L1=2.55974  val_L1@15.0dB=2.84686
epoch 122/200  train_L1=2.56393  val_L1@15.0dB=2.87305
epoch 123/200  train_L1=2.55708  val_L1@15.0dB=2.82847
epoch 124/200  train_L1=2.56079  val_L1@15.0dB=2.85556
epoch 125/200  train_L1=2.55836  val_L1@15.0dB=2.84843
epoch 126/200  train_L1=2.55986  val_L1@15.0dB=2.82671
epoch 127/200  train_L1=2.55478  val_L1@15.0dB=2.84390
epoch 128/200  train_L1=2.55389  val_L1@15.0dB=2.81035
epoch 129/200  train_L1=2.55493  val_L1@15.0dB=2.85222
epoch 130/200  train_L1=2.55538  val_L1@15.0dB=2.81483
epoch 131/200  train_L1=2.55601  val_L1@15.0dB=2.83170
epoch 132/200  train_L1=2.55402  val_L1@15.0dB=2.85099
epoch 133/200  train_L1=2.55474  val_L1@15.0dB=2.89094
epoch 134/200  train_L1=2.55728  val_L1@15.0dB=2.87163
epoch 135/200  train_L1=2.55344  val_L1@15.0dB=2.87075
epoch 136/200  train_L1=2.55231  val_L1@15.0dB=2.86880
epoch 137/200  train_L1=2.55071  val_L1@15.0dB=2.87756
epoch 138/200  train_L1=2.55753  val_L1@15.0dB=2.85882
epoch 139/200  train_L1=2.55923  val_L1@15.0dB=2.84438
epoch 140/200  train_L1=2.54670  val_L1@15.0dB=2.86228
epoch 141/200  train_L1=2.55104  val_L1@15.0dB=2.82009
epoch 142/200  train_L1=2.55705  val_L1@15.0dB=2.84442
epoch 143/200  train_L1=2.54786  val_L1@15.0dB=2.80898
epoch 144/200  train_L1=2.54518  val_L1@15.0dB=2.81461
epoch 145/200  train_L1=2.55448  val_L1@15.0dB=2.88302
epoch 146/200  train_L1=2.55223  val_L1@15.0dB=2.86451
epoch 147/200  train_L1=2.54859  val_L1@15.0dB=2.87042
epoch 148/200  train_L1=2.55045  val_L1@15.0dB=2.89872
epoch 149/200  train_L1=2.54390  val_L1@15.0dB=2.84284
epoch 150/200  train_L1=2.54300  val_L1@15.0dB=2.87674
epoch 151/200  train_L1=2.55173  val_L1@15.0dB=2.84929
epoch 152/200  train_L1=2.53867  val_L1@15.0dB=2.83660
epoch 153/200  train_L1=2.54458  val_L1@15.0dB=2.84413
epoch 154/200  train_L1=2.54317  val_L1@15.0dB=2.82935
epoch 155/200  train_L1=2.54220  val_L1@15.0dB=2.88333
epoch 156/200  train_L1=2.54478  val_L1@15.0dB=2.84069
epoch 157/200  train_L1=2.54140  val_L1@15.0dB=2.84629
epoch 158/200  train_L1=2.54439  val_L1@15.0dB=2.85975
epoch 159/200  train_L1=2.53972  val_L1@15.0dB=2.85761
epoch 160/200  train_L1=2.54927  val_L1@15.0dB=2.82554
epoch 161/200  train_L1=2.54313  val_L1@15.0dB=2.83823
epoch 162/200  train_L1=2.53830  val_L1@15.0dB=2.86640
epoch 163/200  train_L1=2.54351  val_L1@15.0dB=2.84191
epoch 164/200  train_L1=2.54369  val_L1@15.0dB=2.85855
epoch 165/200  train_L1=2.54457  val_L1@15.0dB=2.88883
epoch 166/200  train_L1=2.54124  val_L1@15.0dB=2.87796
epoch 167/200  train_L1=2.54159  val_L1@15.0dB=2.81338
epoch 168/200  train_L1=2.53869  val_L1@15.0dB=2.85780
epoch 169/200  train_L1=2.53870  val_L1@15.0dB=2.86601
epoch 170/200  train_L1=2.53800  val_L1@15.0dB=2.83134
epoch 171/200  train_L1=2.53985  val_L1@15.0dB=2.83001
epoch 172/200  train_L1=2.53581  val_L1@15.0dB=2.83848
epoch 173/200  train_L1=2.53888  val_L1@15.0dB=2.85090
epoch 174/200  train_L1=2.53676  val_L1@15.0dB=2.83925
epoch 175/200  train_L1=2.53390  val_L1@15.0dB=2.86110
epoch 176/200  train_L1=2.53034  val_L1@15.0dB=2.86396
epoch 177/200  train_L1=2.53283  val_L1@15.0dB=2.83524
epoch 178/200  train_L1=2.53206  val_L1@15.0dB=2.84205
epoch 179/200  train_L1=2.54400  val_L1@15.0dB=2.83843
epoch 180/200  train_L1=2.53548  val_L1@15.0dB=2.83416
epoch 181/200  train_L1=2.53667  val_L1@15.0dB=2.84821
epoch 182/200  train_L1=2.53698  val_L1@15.0dB=2.85564
epoch 183/200  train_L1=2.53608  val_L1@15.0dB=2.83917
epoch 184/200  train_L1=2.52996  val_L1@15.0dB=2.83019
epoch 185/200  train_L1=2.53560  val_L1@15.0dB=2.83119
epoch 186/200  train_L1=2.53213  val_L1@15.0dB=2.86116
epoch 187/200  train_L1=2.53330  val_L1@15.0dB=2.80743
epoch 188/200  train_L1=2.52941  val_L1@15.0dB=2.81360
epoch 189/200  train_L1=2.53273  val_L1@15.0dB=2.85829
epoch 190/200  train_L1=2.53314  val_L1@15.0dB=2.81908
epoch 191/200  train_L1=2.53264  val_L1@15.0dB=2.83622
epoch 192/200  train_L1=2.53841  val_L1@15.0dB=2.83000
epoch 193/200  train_L1=2.53049  val_L1@15.0dB=2.82738
epoch 194/200  train_L1=2.53542  val_L1@15.0dB=2.88315
epoch 195/200  train_L1=2.53022  val_L1@15.0dB=2.82796
epoch 196/200  train_L1=2.52752  val_L1@15.0dB=2.86028
epoch 197/200  train_L1=2.53247  val_L1@15.0dB=2.87903
epoch 198/200  train_L1=2.52877  val_L1@15.0dB=2.86028
epoch 199/200  train_L1=2.53260  val_L1@15.0dB=2.85318
epoch 200/200  train_L1=2.53206  val_L1@15.0dB=2.86865
Saved: D:\Haim\Haim 3rd paper\Ultra-Fast project\src\checkpoints\large_100k_cnn_large.pt
